,date_dob,fjc_id,fl_initial,fml_initial,id,name_first,name_last,name_middle,docket_number,pacer_case_id,district_name,query_district_code,docket_padded,docket,title
284,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
285,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
286,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
287,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
288,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
289,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
290,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
291,1933-01-01,345.0,jc,jcc,498,James,Cacheris,Chris,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
292,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
293,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
294,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
295,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
296,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
297,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
298,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
299,1886-12-19,,jc,jcc,5143,James,Compton,C.,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
300,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
301,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
