result,docket_padded,docket,district_name
NONE,7700107,7700107,dc
NONE,7700197,7700197,dc
NONE,7700348,7700348,dc
NONE,7700733,7700733,dc
NONE,7701068,7701068,dc
NONE,7701176,7701176,dc
NONE,7701336,7701336,dc
NONE,7701377,7701377,dc
NONE,7701555,7701555,dc
NONE,7701570,7701570,dc
NONE,7702114,7702114,dc
NONE,7001643,7001643,dc
NONE,7100660,7100660,dc
NONE,7100661,7100661,dc
NONE,7100662,7100662,dc
NONE,7100663,7100663,dc
NONE,7201778,7201778,dc
NONE,7202454,7202454,dc
NONE,7202487,7202487,dc
NONE,7500473,7500473,dc
NONE,7501249,7501249,dc
NONE,7501249,7501249,dc
NONE,7501704,7501704,dc
NONE,7502142,7502142,dc
NONE,7600864,7600864,dc
NONE,7601180,7601180,dc
NONE,7601182,7601182,dc
NONE,7601502,7601502,dc
NONE,7601630,7601630,dc
NONE,7601730,7601730,dc
NONE,7700210,7700210,dc
NONE,7700211,7700211,dc
NONE,7002000,7002000,dc
NONE,7002088,7002088,dc
NONE,7002455,7002455,dc
NONE,7002456,7002456,dc
NONE,7101454,7101454,dc
NONE,7200249,7200249,dc
NONE,7202545,7202545,dc
NONE,7300735,7300735,dc
NONE,7300946,7300946,dc
NONE,7300947,7300947,dc
NONE,7300948,7300948,dc
NONE,7301509,7301509,dc
NONE,7301510,7301510,dc
NONE,7301511,7301511,dc
NONE,7301512,7301512,dc
NONE,7301513,7301513,dc
NONE,7301514,7301514,dc
NONE,7301515,7301515,dc
NONE,7301516,7301516,dc
NONE,7301517,7301517,dc
NONE,7301518,7301518,dc
NONE,7301519,7301519,dc
NONE,7301520,7301520,dc
NONE,7301521,7301521,dc
NONE,7301522,7301522,dc
NONE,7301523,7301523,dc
NONE,7301524,7301524,dc
NONE,7301525,7301525,dc
NONE,7301526,7301526,dc
NONE,7301527,7301527,dc
NONE,7301528,7301528,dc
NONE,7301529,7301529,dc
NONE,7301530,7301530,dc
NONE,7301531,7301531,dc
NONE,7301641,7301641,dc
NONE,7301642,7301642,dc
NONE,7301643,7301643,dc
NONE,7301644,7301644,dc
NONE,7301645,7301645,dc
NONE,7301646,7301646,dc
NONE,7301647,7301647,dc
NONE,7301648,7301648,dc
NONE,7301649,7301649,dc
NONE,7301650,7301650,dc
NONE,7301651,7301651,dc
NONE,7301686,7301686,dc
NONE,7301694,7301694,dc
NONE,7301695,7301695,dc
