result,docket_padded,docket,district_name
NONE,0031665,0031665,pae
NONE,0040537,0040537,pae
NONE,0042587,0042587,pae
NONE,0043101,0043101,pae
NONE,0044369,0044369,pae
NONE,6800144,6800144,pae
NONE,6800162,6800162,pae
NONE,6800384,6800384,pae
NONE,6800452,6800452,pae
NONE,6800558,6800558,pae
NONE,6800704,6800704,pae
NONE,6801171,6801171,pae
NONE,6801478,6801478,pae
NONE,6801479,6801479,pae
NONE,6801489,6801489,pae
NONE,6801490,6801490,pae
NONE,6801683,6801683,pae
NONE,6801730,6801730,pae
NONE,6802233,6802233,pae
NONE,6802400,6802400,pae
NONE,6802487,6802487,pae
NONE,6900071,6900071,pae
NONE,6900114,6900114,pae
NONE,6900180,6900180,pae
NONE,6900181,6900181,pae
NONE,6900182,6900182,pae
NONE,6900446,6900446,pae
NONE,6900805,6900805,pae
NONE,6900861,6900861,pae
NONE,6901133,6901133,pae
NONE,6901276,6901276,pae
NONE,6901287,6901287,pae
NONE,6901288,6901288,pae
NONE,6901289,6901289,pae
NONE,6901290,6901290,pae
NONE,6901291,6901291,pae
NONE,6901292,6901292,pae
NONE,6901312,6901312,pae
NONE,6901316,6901316,pae
NONE,6901358,6901358,pae
NONE,6901359,6901359,pae
NONE,6901360,6901360,pae
NONE,6901362,6901362,pae
NONE,6901363,6901363,pae
NONE,6901364,6901364,pae
NONE,6901365,6901365,pae
NONE,6901366,6901366,pae
NONE,6901367,6901367,pae
NONE,6901368,6901368,pae
NONE,6901369,6901369,pae
NONE,6901370,6901370,pae
NONE,6901500,6901500,pae
NONE,6901885,6901885,pae
NONE,6902902,6902902,pae
NONE,7000345,7000345,pae
NONE,7000352,7000352,pae
NONE,7000366,7000366,pae
NONE,7000398,7000398,pae
NONE,7000492,7000492,pae
NONE,7000494,7000494,pae
NONE,7000824,7000824,pae
NONE,7001145,7001145,pae
NONE,7001323,7001323,pae
NONE,7001325,7001325,pae
NONE,7001411,7001411,pae
NONE,7001540,7001540,pae
NONE,7001754,7001754,pae
NONE,7001797,7001797,pae
NONE,7001826,7001826,pae
NONE,7002015,7002015,pae
NONE,7002303,7002303,pae
NONE,7002702,7002702,pae
NONE,7002753,7002753,pae
NONE,7002758,7002758,pae
NONE,7002850,7002850,pae
NONE,7003015,7003015,pae
NONE,7003102,7003102,pae
NONE,7003109,7003109,pae
NONE,7100017,7100017,pae
NONE,7100323,7100323,pae
NONE,7100610,7100610,pae
NONE,7100931,7100931,pae
NONE,0022092,0022092,pae
NONE,0027961,0027961,pae
NONE,0035353,0035353,pae
NONE,0036360,0036360,pae
NONE,0038226,0038226,pae
NONE,0038541,0038541,pae
NONE,0039444,0039444,pae
NONE,0039481,0039481,pae
NONE,0039819,0039819,pae
NONE,0040032,0040032,pae
NONE,0040301,0040301,pae
NONE,0041734,0041734,pae
NONE,0041827,0041827,pae
NONE,0041828,0041828,pae
NONE,0041829,0041829,pae
NONE,0041831,0041831,pae
NONE,0041833,0041833,pae
NONE,0041835,0041835,pae
NONE,0041836,0041836,pae
NONE,0041843,0041843,pae
NONE,0041844,0041844,pae
NONE,0043027,0043027,pae
NONE,0043244,0043244,pae
NONE,0043919,0043919,pae
NONE,0043923,0043923,pae
NONE,0043946,0043946,pae
NONE,6800171,6800171,pae
NONE,6801395,6801395,pae
NONE,6802197,6802197,pae
NONE,6802805,6802805,pae
NONE,6901770,6901770,pae
NONE,6902249,6902249,pae
NONE,6902443,6902443,pae
NONE,6902537,6902537,pae
NONE,6903006,6903006,pae
NONE,7000313,7000313,pae
NONE,8104649,8104649,pae
NONE,8203325,8203325,pae
NONE,8204846,8204846,pae
NONE,8204921,8204921,pae
NONE,8205226,8205226,pae
NONE,8205267,8205267,pae
NONE,8205633,8205633,pae
NONE,8205670,8205670,pae
NONE,8205686,8205686,pae
NONE,8205754,8205754,pae
NONE,8205796,8205796,pae
NONE,8205813,8205813,pae
NONE,8205839,8205839,pae
NONE,8300184,8300184,pae
NONE,8300581,8300581,pae
NONE,8301019,8301019,pae
NONE,8301082,8301082,pae
NONE,8301289,8301289,pae
NONE,8301404,8301404,pae
NONE,8301655,8301655,pae
NONE,8301927,8301927,pae
NONE,8302135,8302135,pae
NONE,8302618,8302618,pae
NONE,8302635,8302635,pae
NONE,8302672,8302672,pae
NONE,8303147,8303147,pae
NONE,8303624,8303624,pae
NONE,8304663,8304663,pae
NONE,8305260,8305260,pae
NONE,8305261,8305261,pae
NONE,8305923,8305923,pae
NONE,8400413,8400413,pae
NONE,8400626,8400626,pae
NONE,8401097,8401097,pae
NONE,8401421,8401421,pae
NONE,8401465,8401465,pae
NONE,8401644,8401644,pae
NONE,8402566,8402566,pae
NONE,8402736,8402736,pae
NONE,8403416,8403416,pae
NONE,8403589,8403589,pae
NONE,8404112,8404112,pae
NONE,8404314,8404314,pae
NONE,8404395,8404395,pae
NONE,8404500,8404500,pae
NONE,8405050,8405050,pae
NONE,8405306,8405306,pae
NONE,8405789,8405789,pae
NONE,8406023,8406023,pae
NONE,8406131,8406131,pae
NONE,8500094,8500094,pae
NONE,8500150,8500150,pae
NONE,8500243,8500243,pae
NONE,8500295,8500295,pae
NONE,8500504,8500504,pae
NONE,8500525,8500525,pae
NONE,8500707,8500707,pae
NONE,8501098,8501098,pae
NONE,8501877,8501877,pae
NONE,8502093,8502093,pae
NONE,8502104,8502104,pae
NONE,8502105,8502105,pae
NONE,8502106,8502106,pae
NONE,8502257,8502257,pae
NONE,8502267,8502267,pae
NONE,8502516,8502516,pae
NONE,8502695,8502695,pae
NONE,8503027,8503027,pae
NONE,8503197,8503197,pae
NONE,8503607,8503607,pae
NONE,8505286,8505286,pae
NONE,8506694,8506694,pae
NONE,8506849,8506849,pae
NONE,8600179,8600179,pae
NONE,8600603,8600603,pae
NONE,8603627,8603627,pae
NONE,7402451,7402451,pae
NONE,7403247,7403247,pae
NONE,7801666,7801666,pae
NONE,8001151,8001151,pae
NONE,8302602,8302602,pae
NONE,8304278,8304278,pae
NONE,8304812,8304812,pae
NONE,8305628,8305628,pae
NONE,8306262,8306262,pae
NONE,8401418,8401418,pae
NONE,8402526,8402526,pae
NONE,8500206,8500206,pae
NONE,8500827,8500827,pae
NONE,8501211,8501211,pae
NONE,8501240,8501240,pae
NONE,8501418,8501418,pae
NONE,8501440,8501440,pae
NONE,8501919,8501919,pae
NONE,8503522,8503522,pae
NONE,8504372,8504372,pae
NONE,8505503,8505503,pae
NONE,8505795,8505795,pae
NONE,8505833,8505833,pae
NONE,8506828,8506828,pae
NONE,8506861,8506861,pae
NONE,8507021,8507021,pae
NONE,8600126,8600126,pae
NONE,8600413,8600413,pae
NONE,8600602,8600602,pae
NONE,8600794,8600794,pae
NONE,8600885,8600885,pae
NONE,8602063,8602063,pae
NONE,8602170,8602170,pae
NONE,8602664,8602664,pae
NONE,8602756,8602756,pae
NONE,8603300,8603300,pae
NONE,8603914,8603914,pae
NONE,8604464,8604464,pae
NONE,8604494,8604494,pae
NONE,8604724,8604724,pae
NONE,8604742,8604742,pae
NONE,8605194,8605194,pae
NONE,8605265,8605265,pae
NONE,8605895,8605895,pae
NONE,8606268,8606268,pae
NONE,8606360,8606360,pae
NONE,8606397,8606397,pae
NONE,8607389,8607389,pae
NONE,7300773,7300773,pae
NONE,7701726,7701726,pae
NONE,8201387,8201387,pae
NONE,8300398,8300398,pae
NONE,8303278,8303278,pae
NONE,8305673,8305673,pae
NONE,8305996,8305996,pae
NONE,8400677,8400677,pae
NONE,8401418,8401418,pae
NONE,8402011,8402011,pae
NONE,8403464,8403464,pae
NONE,8404266,8404266,pae
NONE,8404575,8404575,pae
NONE,8500206,8500206,pae
NONE,8500967,8500967,pae
NONE,8505094,8505094,pae
NONE,8505794,8505794,pae
NONE,8505951,8505951,pae
NONE,8601544,8601544,pae
NONE,8602239,8602239,pae
NONE,8602362,8602362,pae
NONE,8602808,8602808,pae
NONE,8603333,8603333,pae
NONE,8603628,8603628,pae
NONE,8604961,8604961,pae
NONE,8606430,8606430,pae
NONE,8606441,8606441,pae
NONE,8606458,8606458,pae
NONE,8606714,8606714,pae
NONE,8700177,8700177,pae
NONE,8700724,8700724,pae
NONE,8700794,8700794,pae
NONE,8702216,8702216,pae
NONE,8702379,8702379,pae
NONE,8702761,8702761,pae
NONE,8703649,8703649,pae
NONE,8703727,8703727,pae
NONE,8703932,8703932,pae
NONE,8704354,8704354,pae
NONE,8704557,8704557,pae
NONE,8704635,8704635,pae
NONE,8705067,8705067,pae
NONE,8705156,8705156,pae
NONE,8705511,8705511,pae
NONE,8706594,8706594,pae
NONE,8707164,8707164,pae
NONE,8801062,8801062,pae
NONE,8802023,8802023,pae
NONE,8703649,8703649,pae
NONE,8200510,8200510,pae
NONE,8401160,8401160,pae
NONE,8402722,8402722,pae
NONE,8404395,8404395,pae
NONE,8505605,8505605,pae
NONE,8601222,8601222,pae
NONE,8603484,8603484,pae
NONE,8605428,8605428,pae
NONE,8605967,8605967,pae
NONE,8606414,8606414,pae
NONE,8606679,8606679,pae
NONE,8606821,8606821,pae
NONE,8607076,8607076,pae
NONE,8702492,8702492,pae
NONE,8703593,8703593,pae
NONE,8703641,8703641,pae
NONE,8703868,8703868,pae
NONE,8705079,8705079,pae
NONE,8705711,8705711,pae
NONE,8706998,8706998,pae
NONE,8800547,8800547,pae
NONE,8800649,8800649,pae
NONE,8800673,8800673,pae
NONE,8801062,8801062,pae
NONE,8801356,8801356,pae
NONE,8801880,8801880,pae
NONE,8802023,8802023,pae
NONE,8802567,8802567,pae
NONE,8802567,8802567,pae
NONE,8802568,8802568,pae
NONE,8802568,8802568,pae
NONE,8802791,8802791,pae
NONE,8802791,8802791,pae
NONE,8802818,8802818,pae
NONE,8802818,8802818,pae
NONE,8802884,8802884,pae
NONE,8802884,8802884,pae
NONE,8803126,8803126,pae
NONE,8803510,8803510,pae
NONE,8805224,8805224,pae
NONE,8805225,8805225,pae
NONE,8805323,8805323,pae
NONE,8805448,8805448,pae
NONE,8805527,8805527,pae
NONE,8806447,8806447,pae
NONE,8806546,8806546,pae
NONE,8806546,8806546,pae
NONE,8808403,8808403,pae
NONE,8808834,8808834,pae
NONE,8900513,8900513,pae
NONE,8900769,8900769,pae
NONE,8901063,8901063,pae
NONE,8606414,8606414,pae
NONE,8300020,8300020,pae
NONE,8402010,8402010,pae
NONE,8402012,8402012,pae
NONE,8402079,8402079,pae
NONE,8402134,8402134,pae
NONE,8402135,8402135,pae
NONE,8402138,8402138,pae
NONE,8402781,8402781,pae
NONE,8404395,8404395,pae
NONE,8405562,8405562,pae
NONE,8405760,8405760,pae
NONE,8600602,8600602,pae
NONE,8703932,8703932,pae
NONE,8802083,8802083,pae
NONE,8807650,8807650,pae
NONE,8807871,8807871,pae
NONE,8900513,8900513,pae
NONE,8901698,8901698,pae
NONE,8904014,8904014,pae
NONE,8904522,8904522,pae
NONE,8904959,8904959,pae
NONE,8906579,8906579,pae
NONE,8908139,8908139,pae
NONE,9000408,9000408,pae
NONE,8500367,8500367,pam
NONE,8500423,8500423,pam
NONE,8300714,8300714,pam
NONE,8300714,8300714,pam
NONE,8300715,8300715,pam
NONE,8300715,8300715,pam
NONE,8301606,8301606,pam
NONE,8400368,8400368,pam
NONE,7700226,7700226,pam
NONE,8101428,8101428,pam
NONE,8200397,8200397,pam
NONE,8200452,8200452,pam
NONE,8201152,8201152,pam
NONE,8300277,8300277,pam
NONE,8300705,8300705,pam
NONE,8301418,8301418,pam
NONE,8301620,8301620,pam
NONE,8400499,8400499,pam
NONE,7801033,7801033,pam
NONE,8101025,8101025,pam
NONE,8301715,8301715,pam
NONE,7300246,7300246,pam
NONE,8000127,8000127,pam
NONE,8200514,8200514,pam
NONE,8201489,8201489,pam
NONE,8000473,8000473,pam
NONE,7800720,7800720,pam
NONE,7500533,7500533,pam
NONE,7601132,7601132,pam
NONE,7700689,7700689,pam
NONE,7801156,7801156,pam
NONE,8001281,8001281,pam
NONE,8100319,8100319,pam
NONE,8100664,8100664,pam
NONE,8200326,8200326,pam
NONE,7500533,7500533,pam
NONE,7901115,7901115,pam
NONE,8100155,8100155,pam
NONE,7300605,7300605,pam
NONE,7800503,7800503,pam
NONE,7800503,7800503,pam
NONE,7801164,7801164,pam
NONE,7900541,7900541,pam
NONE,7900794,7900794,pam
NONE,7900894,7900894,pam
NONE,7901434,7901434,pam
NONE,8000134,8000134,pam
NONE,7700771,7700771,pam
NONE,7700867,7700867,pam
NONE,7800409,7800409,pam
NONE,7900088,7900088,pam
NONE,7900554,7900554,pam
NONE,7900901,7900901,pam
NONE,7901516,7901516,pam
NONE,7701047,7701047,pam
NONE,7800318,7800318,pam
NONE,7900115,7900115,pam
NONE,7901086,7901086,pam
NONE,8000747,8000747,pam
NONE,8100092,8100092,pam
NONE,7200429,7200429,pam
NONE,7601500,7601500,pam
NONE,7700699,7700699,pam
NONE,7800320,7800320,pam
NONE,7300605,7300605,pam
NONE,7600966,7600966,pam
NONE,7700770,7700770,pam
NONE,7800269,7800269,pam
NONE,7800368,7800368,pam
NONE,7701049,7701049,pam
NONE,7801033,7801033,pam
NONE,7601495,7601495,pam
NONE,7600295,7600295,pam
NONE,7600972,7600972,pam
NONE,7601459,7601459,pam
NONE,7601515,7601515,pam
NONE,7700769,7700769,pam
NONE,7700772,7700772,pam
NONE,7701048,7701048,pam
NONE,7300653,7300653,pam
NONE,7600247,7600247,pam
NONE,7400824,7400824,pam
NONE,7400465,7400465,pam
NONE,7200410,7200410,pam
NONE,7300246,7300246,pam
NONE,7500120,7500120,pam
NONE,7401143,7401143,pam
NONE,7300229,7300229,pam
NONE,7300277,7300277,pam
NONE,7300426,7300426,pam
NONE,7400598,7400598,pam
NONE,7400641,7400641,pam
NONE,7400178,7400178,pam
NONE,0009875,0009875,pam
NONE,7200303,7200303,pam
NONE,7200442,7200442,pam
NONE,7300352,7300352,pam
NONE,7300717,7300717,pam
NONE,7100177,7100177,pam
NONE,6900488,6900488,pam
NONE,7100190,7100190,pam
NONE,7100554,7100554,pam
NONE,7200141,7200141,pam
NONE,6800428,6800428,pam
NONE,7100159,7100159,pam
NONE,7100229,7100229,pam
NONE,0009994,0009994,pam
NONE,6900162,6900162,pam
NONE,0009171,0009171,pam
NONE,7000030,7000030,pam
NONE,7000496,7000496,pam
NONE,0009976,0009976,pam
NONE,0009982,0009982,pam
NONE,6900434,6900434,pam
NONE,8000134,8000134,pam
NONE,8201210,8201210,pam
NONE,8401551,8401551,pam
NONE,8500460,8500460,pam
NONE,8600377,8600377,pam
NONE,8400809,8400809,pam
NONE,8401395,8401395,pam
NONE,8500413,8500413,pam
NONE,8601799,8601799,pam
NONE,8401295,8401295,pam
NONE,8600458,8600458,pam
NONE,8600458,8600458,pam
NONE,8501305,8501305,pam
NONE,8600463,8600463,pam
NONE,8700093,8700093,pam
NONE,8301055,8301055,pam
NONE,8501704,8501704,pam
NONE,8800068,8800068,pam
NONE,8701051,8701051,pam
NONE,8700611,8700611,pam
NONE,8701007,8701007,pam
NONE,7100977,7100977,paw
NONE,8502949,8502949,paw
NONE,8502006,8502006,paw
NONE,8702722,8702722,paw
NONE,8400218,8400218,vi
NONE,8100211,8100211,vi
NONE,8100023,8100023,vi
NONE,7700099,7700099,vi
NONE,7300515,7300515,vi
NONE,8000068,8000068,vi
NONE,7900952,7900952,md
NONE,8003238,8003238,md
NONE,8100650,8100650,md
NONE,8100726,8100726,md
NONE,8100805,8100805,md
NONE,8100806,8100806,md
NONE,8101880,8101880,md
NONE,8102954,8102954,md
NONE,8200479,8200479,md
NONE,8200733,8200733,md
NONE,8201273,8201273,md
NONE,8302799,8302799,md
NONE,8302815,8302815,md
NONE,8303073,8303073,md
NONE,8304432,8304432,md
NONE,8400695,8400695,md
NONE,8400733,8400733,md
NONE,8401938,8401938,md
NONE,8401939,8401939,md
NONE,8401940,8401940,md
NONE,8401941,8401941,md
NONE,8402032,8402032,md
NONE,8402333,8402333,md
NONE,8402337,8402337,md
NONE,8402728,8402728,md
NONE,8403110,8403110,md
NONE,8403214,8403214,md
NONE,8403311,8403311,md
NONE,8403417,8403417,md
NONE,8403419,8403419,md
NONE,0109491,0109491,md
NONE,8001113,8001113,md
NONE,8101238,8101238,md
NONE,8101613,8101613,md
NONE,8102816,8102816,md
NONE,8200890,8200890,md
NONE,8202631,8202631,md
NONE,8203385,8203385,md
NONE,8203608,8203608,md
NONE,8203798,8203798,md
NONE,8300032,8300032,md
NONE,8300846,8300846,md
NONE,8301288,8301288,md
NONE,8301515,8301515,md
NONE,8301855,8301855,md
NONE,8302092,8302092,md
NONE,8302686,8302686,md
NONE,8303836,8303836,md
NONE,8304166,8304166,md
NONE,8304167,8304167,md
NONE,8304432,8304432,md
NONE,7800781,7800781,md
NONE,7801132,7801132,md
NONE,8002001,8002001,md
NONE,8002789,8002789,md
NONE,8101900,8101900,md
NONE,8102391,8102391,md
NONE,8201288,8201288,md
NONE,8201815,8201815,md
NONE,8202267,8202267,md
NONE,8203134,8203134,md
NONE,8203209,8203209,md
NONE,8203257,8203257,md
NONE,7101329,7101329,md
NONE,7701443,7701443,md
NONE,7801094,7801094,md
NONE,7900862,7900862,md
NONE,7900884,7900884,md
NONE,7900952,7900952,md
NONE,8000562,8000562,md
NONE,8001516,8001516,md
NONE,8100913,8100913,md
NONE,8101102,8101102,md
NONE,8101900,8101900,md
NONE,8102064,8102064,md
NONE,8102241,8102241,md
NONE,8102889,8102889,md
NONE,8102926,8102926,md
NONE,7300303,7300303,md
NONE,7601757,7601757,md
NONE,7700618,7700618,md
NONE,7700618,7700618,md
NONE,7700755,7700755,md
NONE,7700755,7700755,md
NONE,7701426,7701426,md
NONE,7800581,7800581,md
NONE,7801549,7801549,md
NONE,7801884,7801884,md
NONE,7802154,7802154,md
NONE,7802172,7802172,md
NONE,7900514,7900514,md
NONE,7900735,7900735,md
NONE,7901028,7901028,md
NONE,7901071,7901071,md
NONE,7901111,7901111,md
NONE,7901606,7901606,md
NONE,7901874,7901874,md
NONE,7901997,7901997,md
NONE,7902076,7902076,md
NONE,7902087,7902087,md
NONE,7200664,7200664,md
NONE,7301178,7301178,md
NONE,7501024,7501024,md
NONE,7501025,7501025,md
NONE,7501026,7501026,md
NONE,7501214,7501214,md
NONE,7501826,7501826,md
NONE,7600780,7600780,md
NONE,7600823,7600823,md
NONE,7600842,7600842,md
NONE,7600861,7600861,md
NONE,7600928,7600928,md
NONE,7601938,7601938,md
NONE,7601939,7601939,md
NONE,7701533,7701533,md
NONE,7802294,7802294,md
NONE,7802570,7802570,md
NONE,7900862,7900862,md
NONE,7901369,7901369,md
NONE,7902088,7902088,md
NONE,8001113,8001113,md
NONE,8001339,8001339,md
NONE,8001569,8001569,md
NONE,8003072,8003072,md
NONE,8100576,8100576,md
NONE,8100946,8100946,md
NONE,7500219,7500219,md
NONE,7501257,7501257,md
NONE,7501680,7501680,md
NONE,7700815,7700815,md
NONE,7701821,7701821,md
NONE,7702043,7702043,md
NONE,7702082,7702082,md
NONE,7801006,7801006,md
NONE,7801094,7801094,md
NONE,7801390,7801390,md
NONE,7802043,7802043,md
NONE,7802154,7802154,md
NONE,7802559,7802559,md
NONE,7900510,7900510,md
NONE,7300303,7300303,md
NONE,7300304,7300304,md
NONE,7300504,7300504,md
NONE,7300506,7300506,md
NONE,7500029,7500029,md
NONE,7500132,7500132,md
NONE,7601478,7601478,md
NONE,7601675,7601675,md
NONE,7601758,7601758,md
NONE,7601937,7601937,md
NONE,7700983,7700983,md
NONE,7701502,7701502,md
NONE,7701773,7701773,md
NONE,7101086,7101086,md
NONE,7300303,7300303,md
NONE,7300304,7300304,md
NONE,7300504,7300504,md
NONE,7300506,7300506,md
NONE,7300964,7300964,md
NONE,7400648,7400648,md
NONE,7400779,7400779,md
NONE,7401259,7401259,md
NONE,7501229,7501229,md
NONE,7501849,7501849,md
NONE,7601068,7601068,md
NONE,7601490,7601490,md
NONE,7601748,7601748,md
NONE,7601891,7601891,md
NONE,7100882,7100882,md
NONE,7101086,7101086,md
NONE,7300224,7300224,md
NONE,7400080,7400080,md
NONE,7400083,7400083,md
NONE,7400976,7400976,md
NONE,7401064,7401064,md
NONE,7401176,7401176,md
NONE,7500029,7500029,md
NONE,7500127,7500127,md
NONE,7500403,7500403,md
NONE,7500908,7500908,md
NONE,7500933,7500933,md
NONE,7501048,7501048,md
NONE,7501071,7501071,md
NONE,7501381,7501381,md
NONE,7000125,7000125,md
NONE,7200536,7200536,md
NONE,7200598,7200598,md
NONE,7300159,7300159,md
NONE,7300416,7300416,md
NONE,7300449,7300449,md
NONE,7300953,7300953,md
NONE,7301057,7301057,md
NONE,7301059,7301059,md
NONE,7301075,7301075,md
NONE,7301226,7301226,md
NONE,7400094,7400094,md
NONE,7400216,7400216,md
NONE,7400417,7400417,md
NONE,7400603,7400603,md
NONE,7400942,7400942,md
NONE,7401118,7401118,md
NONE,7500189,7500189,md
NONE,7000223,7000223,md
NONE,7300012,7300012,md
NONE,7300270,7300270,md
NONE,7300505,7300505,md
NONE,7300507,7300507,md
NONE,7301159,7301159,md
NONE,7400093,7400093,md
NONE,7000775,7000775,md
NONE,7001224,7001224,md
NONE,7100821,7100821,md
NONE,7100822,7100822,md
NONE,7200358,7200358,md
NONE,7200549,7200549,md
NONE,7200618,7200618,md
NONE,7200621,7200621,md
NONE,7200629,7200629,md
NONE,7000020,7000020,md
NONE,7001028,7001028,md
NONE,7001259,7001259,md
NONE,7001282,7001282,md
NONE,7001323,7001323,md
NONE,7100398,7100398,md
NONE,7100691,7100691,md
NONE,7101348,7101348,md
NONE,7200210,7200210,md
NONE,7200264,7200264,md
NONE,7200299,7200299,md
NONE,21545,21545,md
NONE,7000649,7000649,md
NONE,21310,21310,md
NONE,7802372,7802372,md
NONE,7900577,7900577,md
NONE,8102156,8102156,md
NONE,8203257,8203257,md
NONE,8301380,8301380,md
NONE,8302091,8302091,md
NONE,8302990,8302990,md
NONE,8400655,8400655,md
NONE,8401059,8401059,md
NONE,8401971,8401971,md
NONE,8404593,8404593,md
NONE,8500679,8500679,md
NONE,8500949,8500949,md
NONE,8501102,8501102,md
NONE,8503471,8503471,md
NONE,8504956,8504956,md
NONE,7701302,7701302,md
NONE,8303367,8303367,md
NONE,8402650,8402650,md
NONE,8403139,8403139,md
NONE,8403803,8403803,md
NONE,8403839,8403839,md
NONE,8503177,8503177,md
NONE,8503261,8503261,md
NONE,8601570,8601570,md
NONE,2448,2448,md
NONE,2449,2449,md
NONE,2133,2133,md
NONE,2135,2135,md
NONE,2140,2140,md
NONE,3019,3019,md
NONE,202849,202849,md
NONE,2451,2451,md
NONE,202738,202738,md
NONE,202953,202953,md
NONE,202976,202976,md
NONE,203332,203332,md
NONE,203741,203741,md
NONE,203742,203742,md
NONE,203743,203743,md
NONE,203832,203832,md
NONE,300741,300741,md
NONE,300742,300742,md
NONE,300743,300743,md
NONE,300744,300744,md
NONE,300745,300745,md
NONE,300746,300746,md
NONE,300747,300747,md
NONE,300748,300748,md
NONE,300749,300749,md
NONE,300750,300750,md
NONE,300751,300751,md
NONE,300752,300752,md
NONE,300753,300753,md
NONE,300754,300754,md
NONE,300755,300755,md
NONE,300756,300756,md
NONE,300757,300757,md
NONE,300758,300758,md
NONE,301035,301035,md
NONE,301702,301702,md
NONE,202739,202739,md
NONE,202902,202902,md
NONE,203706,203706,md
NONE,203739,203739,md
NONE,203740,203740,md
NONE,203741,203741,md
NONE,203742,203742,md
NONE,203743,203743,md
NONE,203920,203920,md
NONE,303080,303080,md
NONE,303460,303460,md
NONE,401909,401909,md
NONE,300648,300648,md
NONE,2117,2117,md
NONE,2132,2132,md
NONE,2134,2134,md
NONE,2137,2137,md
NONE,2138,2138,md
NONE,2139,2139,md
NONE,2142,2142,md
NONE,2143,2143,md
NONE,2144,2144,md
NONE,2145,2145,md
NONE,2147,2147,md
NONE,2148,2148,md
NONE,2149,2149,md
NONE,2302,2302,md
NONE,2441,2441,md
NONE,2441,2441,md
NONE,2443,2443,md
NONE,2450,2450,md
NONE,3471,3471,md
NONE,202952,202952,md
NONE,203331,203331,md
NONE,203397,203397,md
NONE,401694,401694,md
NONE,402153,402153,md
NONE,402577,402577,md
NONE,2146,2146,md
NONE,400968,400968,md
NONE,401663,401663,md
NONE,501277,501277,md
NONE,502413,502413,md
NONE,601026,601026,md
NONE,403893,403893,md
NONE,601221,601221,md
NONE,601227,601227,md
NONE,2445,2445,md
NONE,403705,403705,md
NONE,602279,602279,md
NONE,602356,602356,md
NONE,603390,603390,md
NONE,802322,802322,md
NONE,802856,802856,md
NONE,603041,603041,md
NONE,800732,800732,md
NONE,501087,501087,md
NONE,8300146,8300146,nce
NONE,8400516,8400516,nce
NONE,7204048,7204048,nce
NONE,8300834,8300834,nce
NONE,8000091,8000091,nce
NONE,8201172,8201172,nce
NONE,8300599,8300599,nce
NONE,8300104,8300104,nce
NONE,8400016,8400016,nce
NONE,8300007,8300007,nce
NONE,8200003,8200003,nce
NONE,8200114,8200114,nce
NONE,8200338,8200338,nce
NONE,7600048,7600048,nce
NONE,7800636,7800636,nce
NONE,4048,4048,nce
NONE,7700187,7700187,nce
NONE,7900710,7900710,nce
NONE,7800004,7800004,nce
NONE,7600030,7600030,nce
NONE,7500112,7500112,nce
NONE,7600188,7600188,nce
NONE,7500363,7500363,nce
NONE,7700162,7700162,nce
NONE,7700163,7700163,nce
NONE,7500330,7500330,nce
NONE,4292,4292,nce
NONE,7500001,7500001,nce
NONE,7400015,7400015,nce
NONE,766,766,nce
NONE,7400013,7400013,nce
NONE,2287,2287,nce
NONE,4009,4009,nce
NONE,4292,4292,nce
NONE,4352,4352,nce
NONE,766,766,nce
NONE,2955,2955,nce
NONE,4048,4048,nce
NONE,4096,4096,nce
NONE,2844,2844,nce
NONE,2220,2220,nce
NONE,2287,2287,nce
NONE,2372,2372,nce
NONE,695,695,nce
NONE,8400051,8400051,nce
NONE,8401238,8401238,nce
NONE,8500347,8500347,nce
NONE,8500370,8500370,nce
NONE,8500847,8500847,nce
NONE,8500014,8500014,nce
NONE,7800004,7800004,nce
NONE,7800093,7800093,nce
NONE,8600095,8600095,nce
NONE,8600129,8600129,nce
NONE,8500812,8500812,nce
NONE,8700582,8700582,nce
NONE,400292,400292,nce
NONE,700008,700008,nce
NONE,800573,800573,nce
NONE,800573,800573,nce
NONE,8400474,8400474,ncm
NONE,7600429,7600429,ncm
NONE,8200574,8200574,ncm
NONE,8300075,8300075,ncm
NONE,8100132,8100132,ncm
NONE,8300670,8300670,ncm
NONE,7800598,7800598,ncm
NONE,8100518,8100518,ncm
NONE,7900611,7900611,ncm
NONE,8200772,8200772,ncm
NONE,7900606,7900606,ncm
NONE,8200494,8200494,ncm
NONE,7400017,7400017,ncm
NONE,7700565,7700565,ncm
NONE,7800372,7800372,ncm
NONE,7900600,7900600,ncm
NONE,8100389,8100389,ncm
NONE,7700209,7700209,ncm
NONE,7700210,7700210,ncm
NONE,7900068,7900068,ncm
NONE,7500130,7500130,ncm
NONE,7800386,7800386,ncm
NONE,8000074,8000074,ncm
NONE,8000145,8000145,ncm
NONE,8000227,8000227,ncm
NONE,8000072,8000072,ncm
NONE,8000620,8000620,ncm
NONE,8100066,8100066,ncm
NONE,7100128,7100128,ncm
NONE,7700194,7700194,ncm
NONE,7400017,7400017,ncm
NONE,7700509,7700509,ncm
NONE,7600387,7600387,ncm
NONE,7300174,7300174,ncm
NONE,7500113,7500113,ncm
NONE,7600617,7600617,ncm
NONE,7600402,7600402,ncm
NONE,7400078,7400078,ncm
NONE,7500105,7500105,ncm
NONE,7300226,7300226,ncm
NONE,7400042,7400042,ncm
NONE,7100128,7100128,ncm
NONE,7300237,7300237,ncm
NONE,7400213,7400213,ncm
NONE,7200259,7200259,ncm
